code,basis,p,distance,rounds,shots,failures,logical_error_rate,num_qubits,num_detectors,num_observables,num_measurements
surface,Z,0.01,15,15,10000,0,0.0,494,3360,1,3585
surface,Z,0.01,17,17,10000,0,0.0,628,4896,1,5185
surface,Z,0.01,21,21,10000,0,0.0,944,9240,1,9681
surface,Z,0.03,5,5,10000,86,0.0086,64,120,1,145
surface,Z,0.03,7,7,10000,44,0.0044,118,336,1,385
surface,Z,0.03,11,11,10000,3,0.0003,274,1320,1,1441
surface,Z,0.03,15,15,10000,0,0.0,494,3360,1,3585
surface,Z,0.03,17,17,10000,0,0.0,628,4896,1,5185
surface,Z,0.03,21,21,10000,0,0.0,944,9240,1,9681
surface,Z,0.05,5,5,10000,389,0.0389,64,120,1,145
surface,Z,0.05,7,7,10000,259,0.0259,118,336,1,385
surface,Z,0.05,11,11,10000,93,0.0093,274,1320,1,1441
surface,Z,0.05,15,15,10000,26,0.0026,494,3360,1,3585
surface,Z,0.05,17,17,10000,12,0.0012,628,4896,1,5185
surface,Z,0.05,21,21,10000,3,0.0003,944,9240,1,9681
surface,Z,0.07,5,5,10000,969,0.0969,64,120,1,145
surface,Z,0.07,7,7,10000,891,0.0891,118,336,1,385
surface,Z,0.07,11,11,10000,511,0.0511,274,1320,1,1441
surface,Z,0.07,15,15,10000,233,0.0233,494,3360,1,3585
surface,Z,0.07,17,17,10000,198,0.0198,628,4896,1,5185
surface,Z,0.07,21,21,10000,82,0.0082,944,9240,1,9681
surface,Z,0.1,5,5,10000,2151,0.2151,64,120,1,145
surface,Z,0.1,7,7,10000,2218,0.2218,118,336,1,385
surface,Z,0.1,11,11,10000,2351,0.2351,274,1320,1,1441
surface,Z,0.1,15,15,10000,2090,0.209,494,3360,1,3585
surface,Z,0.1,17,17,10000,1964,0.1964,628,4896,1,5185
surface,Z,0.1,21,21,10000,1650,0.165,944,9240,1,9681
surface,X,0.008,5,5,10000,3,0.0003,64,120,1,145
surface,X,0.008,7,7,10000,1,0.0001,118,336,1,385
surface,X,0.008,11,11,10000,0,0.0,274,1320,1,1441
surface,X,0.008,15,15,10000,0,0.0,494,3360,1,3585
surface,X,0.008,17,17,10000,0,0.0,628,4896,1,5185
surface,X,0.008,21,21,10000,0,0.0,944,9240,1,9681
surface,X,0.01,5,5,10000,7,0.0007,64,120,1,145
surface,X,0.01,7,7,10000,1,0.0001,118,336,1,385
surface,X,0.01,11,11,10000,0,0.0,274,1320,1,1441
surface,X,0.01,15,15,10000,0,0.0,494,3360,1,3585
surface,X,0.01,17,17,10000,0,0.0,628,4896,1,5185
surface,X,0.01,21,21,10000,0,0.0,944,9240,1,9681
surface,X,0.03,5,5,10000,98,0.0098,64,120,1,145
surface,X,0.03,7,7,10000,38,0.0038,118,336,1,385
surface,X,0.03,11,11,10000,7,0.0007,274,1320,1,1441
surface,X,0.03,15,15,10000,3,0.0003,494,3360,1,3585
surface,X,0.03,17,17,10000,0,0.0,628,4896,1,5185
surface,X,0.03,21,21,10000,0,0.0,944,9240,1,9681
surface,X,0.05,5,5,10000,375,0.0375,64,120,1,145
surface,X,0.05,7,7,10000,303,0.0303,118,336,1,385
surface,X,0.05,11,11,10000,98,0.0098,274,1320,1,1441
surface,X,0.05,15,15,10000,28,0.0028,494,3360,1,3585
surface,X,0.05,17,17,10000,16,0.0016,628,4896,1,5185
surface,X,0.05,21,21,10000,3,0.0003,944,9240,1,9681
surface,X,0.07,5,5,10000,946,0.0946,64,120,1,145
surface,X,0.07,7,7,10000,900,0.09,118,336,1,385
surface,X,0.07,11,11,10000,507,0.0507,274,1320,1,1441
surface,X,0.07,15,15,10000,289,0.0289,494,3360,1,3585
surface,X,0.07,17,17,10000,189,0.0189,628,4896,1,5185
surface,X,0.07,21,21,10000,105,0.0105,944,9240,1,9681
surface,X,0.1,5,5,10000,2078,0.2078,64,120,1,145
surface,X,0.1,7,7,10000,2226,0.2226,118,336,1,385
surface,X,0.1,11,11,10000,2255,0.2255,274,1320,1,1441
surface,X,0.1,15,15,10000,2074,0.2074,494,3360,1,3585
surface,X,0.1,17,17,10000,1941,0.1941,628,4896,1,5185
surface,X,0.1,21,21,10000,1620,0.162,944,9240,1,9681
