basis,p,distance,rounds,shots,failures_any,logical_error_rate_any,failures_obs0,logical_error_rate_obs0,failures_obs1,logical_error_rate_obs1,num_qubits,num_detectors,num_measurements,num_observables
Z,0.01,13,13,100000,33766,0.33766,20886,0.20886,20240,0.2024,676,4225,4732,2
Z,0.01,15,15,100000,39402,0.39402,24456,0.24456,23977,0.23977,900,6525,7200,2
Z,0.012,3,3,100000,19210,0.1921,11396,0.11396,11012,0.11012,36,45,72,2
Z,0.012,5,5,100000,26621,0.26621,16011,0.16011,15663,0.15663,100,225,300,2
Z,0.012,7,7,100000,35422,0.35422,21717,0.21717,21226,0.21226,196,637,784,2
Z,0.012,9,9,100000,45213,0.45213,28286,0.28286,27919,0.27919,324,1377,1620,2
Z,0.012,11,11,100000,54154,0.54154,34550,0.3455,33914,0.33914,484,2541,2904,2
Z,0.012,13,13,100000,61983,0.61983,40078,0.40078,39585,0.39585,676,4225,4732,2
Z,0.012,15,15,100000,67718,0.67718,44078,0.44078,43886,0.43886,900,6525,7200,2
X,0.001,3,3,100000,123,0.00123,73,0.00073,58,0.00058,36,45,72,2
X,0.001,5,5,100000,14,0.00014,9,9e-05,5,5e-05,100,225,300,2
X,0.001,7,7,100000,0,0.0,0,0.0,0,0.0,196,637,784,2
X,0.001,9,9,100000,0,0.0,0,0.0,0,0.0,324,1377,1620,2
X,0.001,11,11,100000,0,0.0,0,0.0,0,0.0,484,2541,2904,2
X,0.001,13,13,100000,0,0.0,0,0.0,0,0.0,676,4225,4732,2
X,0.001,15,15,100000,0,0.0,0,0.0,0,0.0,900,6525,7200,2
X,0.002,3,3,100000,482,0.00482,253,0.00253,258,0.00258,36,45,72,2
X,0.002,5,5,100000,91,0.00091,46,0.00046,48,0.00048,100,225,300,2
X,0.002,7,7,100000,17,0.00017,7,7e-05,10,0.0001,196,637,784,2
X,0.002,9,9,100000,3,3e-05,2,2e-05,1,1e-05,324,1377,1620,2
X,0.002,11,11,100000,0,0.0,0,0.0,0,0.0,484,2541,2904,2
X,0.002,13,13,100000,0,0.0,0,0.0,0,0.0,676,4225,4732,2
X,0.002,15,15,100000,0,0.0,0,0.0,0,0.0,900,6525,7200,2
X,0.003,3,3,100000,1257,0.01257,671,0.00671,703,0.00703,36,45,72,2
X,0.003,5,5,100000,348,0.00348,177,0.00177,192,0.00192,100,225,300,2
X,0.003,7,7,100000,76,0.00076,45,0.00045,34,0.00034,196,637,784,2
X,0.003,9,9,100000,26,0.00026,16,0.00016,10,0.0001,324,1377,1620,2
X,0.003,11,11,100000,1,1e-05,0,0.0,1,1e-05,484,2541,2904,2
X,0.003,13,13,100000,1,1e-05,0,0.0,1,1e-05,676,4225,4732,2
X,0.003,15,15,100000,0,0.0,0,0.0,0,0.0,900,6525,7200,2
X,0.004,3,3,100000,2176,0.02176,1151,0.01151,1190,0.0119,36,45,72,2
X,0.004,5,5,100000,878,0.00878,468,0.00468,462,0.00462,100,225,300,2
X,0.004,7,7,100000,352,0.00352,162,0.00162,207,0.00207,196,637,784,2
X,0.004,9,9,100000,115,0.00115,51,0.00051,68,0.00068,324,1377,1620,2
X,0.004,11,11,100000,46,0.00046,16,0.00016,31,0.00031,484,2541,2904,2
X,0.004,13,13,100000,8,8e-05,1,1e-05,7,7e-05,676,4225,4732,2
X,0.004,15,15,100000,1,1e-05,1,1e-05,0,0.0,900,6525,7200,2
X,0.005,3,3,100000,3498,0.03498,1864,0.01864,1967,0.01967,36,45,72,2
X,0.005,5,5,100000,1893,0.01893,957,0.00957,1073,0.01073,100,225,300,2
X,0.005,7,7,100000,950,0.0095,483,0.00483,521,0.00521,196,637,784,2
X,0.005,9,9,100000,503,0.00503,233,0.00233,289,0.00289,324,1377,1620,2
X,0.005,11,11,100000,259,0.00259,124,0.00124,148,0.00148,484,2541,2904,2
X,0.005,13,13,100000,110,0.0011,49,0.00049,65,0.00065,676,4225,4732,2
X,0.005,15,15,100000,67,0.00067,35,0.00035,33,0.00033,900,6525,7200,2
X,0.006,3,3,100000,5145,0.05145,2777,0.02777,2926,0.02926,36,45,72,2
X,0.006,5,5,100000,3442,0.03442,1792,0.01792,1982,0.01982,100,225,300,2
X,0.006,7,7,100000,2331,0.02331,1175,0.01175,1347,0.01347,196,637,784,2
X,0.006,9,9,100000,1514,0.01514,774,0.00774,865,0.00865,324,1377,1620,2
X,0.006,11,11,100000,1014,0.01014,511,0.00511,585,0.00585,484,2541,2904,2
X,0.006,13,13,100000,594,0.00594,278,0.00278,353,0.00353,676,4225,4732,2
X,0.006,15,15,100000,460,0.0046,219,0.00219,265,0.00265,900,6525,7200,2
X,0.007,3,3,100000,6807,0.06807,3763,0.03763,3841,0.03841,36,45,72,2
X,0.007,5,5,100000,5583,0.05583,3012,0.03012,3173,0.03173,100,225,300,2
X,0.007,7,7,100000,4553,0.04553,2351,0.02351,2669,0.02669,196,637,784,2
X,0.007,9,9,100000,3818,0.03818,1972,0.01972,2240,0.0224,324,1377,1620,2
X,0.007,11,11,100000,3125,0.03125,1641,0.01641,1792,0.01792,484,2541,2904,2
X,0.007,13,13,100000,2735,0.02735,1435,0.01435,1576,0.01576,676,4225,4732,2
